Time,PrimTSet,PrimT,ChActive,HwTSet,HwActive,ActPow,HwTOutlet
2018-02-10T00:00:05.628Z,,52.3,,55,,,41.5
2018-02-10T00:00:14.632Z,,52.5,,,,,
2018-02-10T00:00:29.900Z,,52.7,,55,,,41.6
2018-02-10T00:00:34.630Z,,52.8,,55,,,41.6
2018-02-10T00:00:44.630Z,,53.1,,,,,
2018-02-10T00:00:54.630Z,,53.2,,55,,,41.7
2018-02-10T00:01:04.630Z,,,,55,,,41.7
2018-02-10T00:01:14.631Z,,53.5,,,,,
2018-02-10T00:01:29.651Z,,53.6,,55,,,41.8
2018-02-10T00:01:44.630Z,,54,,55,,,41.9
2018-02-10T00:01:54.631Z,,,,55,,,42
2018-02-10T00:02:04.632Z,,54.1,,55,,,42
2018-02-10T00:02:14.631Z,,54.4,,,,,
2018-02-10T00:02:24.630Z,,54.5,,55,,,42.2
2018-02-10T00:02:34.631Z,,,,55,,,42.3
2018-02-10T00:02:44.631Z,,54.8,,,,,
2018-02-10T00:02:54.636Z,,55,,55,,,42.3
2018-02-10T00:03:04.632Z,,55.1,,55,,,42.4
2018-02-10T00:03:19.650Z,,55.2,,55,,,42.5
2018-02-10T00:03:24.631Z,,55.3,,55,,,42.6
2018-02-10T00:03:34.630Z,,55.5,,,,,
2018-02-10T00:03:44.630Z,,55.7,,55,,,42.7
2018-02-10T00:04:04.631Z,,55.9,,55,,,42.8
2018-02-10T00:04:14.631Z,,56,,,,,
2018-02-10T00:04:24.631Z,,55.7,1,55,0,0,43
2018-02-10T00:04:34.631Z,,54.2,,55,,,43
2018-02-10T00:04:44.631Z,,53,,55,,,43.1
2018-02-10T00:04:54.631Z,,52.3,,55,,,43.2
2018-02-10T00:05:04.631Z,,,,55,,,43.2
2018-02-10T00:05:14.633Z,,52.4,,55,,,43.3
2018-02-10T00:05:34.631Z,,52.7,,55,,,43.4
2018-02-10T00:05:44.631Z,,52.3,,55,,,43.5
2018-02-10T00:05:54.631Z,,,,55,,,43.5
2018-02-10T00:06:04.631Z,,51.8,,,,,
2018-02-10T00:06:14.631Z,,51.4,,55,,,43.6
2018-02-10T00:06:24.631Z,,,,55,,,43.6
2018-02-10T00:06:34.631Z,,51,,,,,
2018-02-10T00:06:44.631Z,,50.9,,55,,,43.6
2018-02-10T00:06:54.635Z,,50.7,,55,,,43.6
2018-02-10T00:07:05.673Z,,50.6,,55,,,43.5
2018-02-10T00:07:19.651Z,,50.3,,,,,
2018-02-10T00:07:24.634Z,,53.2,1,55,0,80,43.5
2018-02-10T00:07:34.631Z,,60.7,,55,,50,43.5
2018-02-10T00:07:45.673Z,,62.6,,55,,29,43.5
2018-02-10T00:07:54.631Z,,60,,55,,,43.4
2018-02-10T00:08:04.631Z,,57.3,,55,,,43.4
2018-02-10T00:08:14.631Z,,55.4,,55,,,43.4
2018-02-10T00:08:24.632Z,,54.2,,55,,,43.3
2018-02-10T00:08:34.635Z,,54.4,,55,,,43.3
2018-02-10T00:08:54.632Z,,55.5,,55,,,43.3
2018-02-10T00:09:04.632Z,,55.7,,55,,,43.3
2018-02-10T00:09:14.632Z,,,,55,,,43.3
2018-02-10T00:09:24.631Z,,,,55,,,43.3
2018-02-10T00:09:34.631Z,,55.9,,,,,
2018-02-10T00:09:44.632Z,,56,,55,,,43.3
2018-02-10T00:09:54.631Z,,,,55,,,43.4
2018-02-10T00:10:04.632Z,,56.2,,55,,,43.4
2018-02-10T00:10:14.632Z,,56.4,,,,,
2018-02-10T00:10:25.626Z,,,,55,,,43.5
2018-02-10T00:10:34.631Z,,56.5,,55,,,43.6
2018-02-10T00:10:44.631Z,,56.7,,,,,
2018-02-10T00:10:54.632Z,,,,55,,,43.7
2018-02-10T00:11:04.632Z,,,,55,,,43.7
2018-02-10T00:11:14.632Z,,56.5,1,,0,0,
2018-02-10T00:11:24.632Z,,55,,55,,,43.9
2018-02-10T00:11:34.633Z,,53.8,,55,,,43.9
2018-02-10T00:11:44.632Z,,53.2,,55,,,44
2018-02-10T00:11:54.632Z,,,,55,,,44.1
2018-02-10T00:12:04.632Z,,53.1,,,,,
2018-02-10T00:12:14.632Z,,53.7,,55,,,44.2
2018-02-10T00:12:24.634Z,,53.4,,55,,,44.2
2018-02-10T00:12:44.632Z,,52.8,,55,,,44.3
2018-02-10T00:12:54.632Z,,,,55,,,44.3
2018-02-10T00:13:04.632Z,,52.6,,,,,
2018-02-10T00:13:15.629Z,,52.1,,55,,,44.3
2018-02-10T00:13:24.633Z,,51.9,,55,,,44.3
2018-02-10T00:13:34.632Z,,51.7,,55,,,44.3
2018-02-10T00:13:44.632Z,,51.6,,55,,,44.3
2018-02-10T00:14:04.633Z,,51.3,,55,,,44.3
2018-02-10T00:14:14.634Z,,51.1,,55,,,44.2
2018-02-10T00:14:24.632Z,,,,55,,,44.2
2018-02-10T00:14:34.632Z,,51.3,,55,,,44.1
2018-02-10T00:14:44.632Z,,51.6,,,,,
2018-02-10T00:14:54.694Z,,,,55,,,44.1
2018-02-10T00:15:04.633Z,,51.7,,55,,,44
2018-02-10T00:15:14.632Z,,51.9,,,,,
2018-02-10T00:15:29.653Z,,52,,55,,,44
2018-02-10T00:15:34.633Z,,,,55,,,43.9
2018-02-10T00:15:54.633Z,,52.2,,55,,,43.7
2018-02-10T00:16:09.656Z,,,,55,,,43.7
2018-02-10T00:16:14.632Z,,,,55,,,43.6
2018-02-10T00:16:24.633Z,,52.3,,,,,
2018-02-10T00:16:34.632Z,,52.4,,55,,,43.5
2018-02-10T00:16:44.633Z,,52.6,,55,,,43.4
2018-02-10T00:17:04.634Z,,,,55,,,43.4
2018-02-10T00:17:14.632Z,,52.7,,55,,,43.3
2018-02-10T00:17:24.633Z,,,,55,,,43.2
2018-02-10T00:17:34.982Z,,52.8,,,,,
2018-02-10T00:17:44.633Z,,,,55,,,43.2
2018-02-10T00:17:54.633Z,,,,55,,,43.1
2018-02-10T00:18:04.634Z,,52.9,,,,,
2018-02-10T00:18:14.632Z,,,,55,,,43
2018-02-10T00:18:24.633Z,,53,,55,,,43
2018-02-10T00:18:34.633Z,,,,55,,,42.8
2018-02-10T00:18:44.633Z,,,,55,,,42.8
2018-02-10T00:19:04.633Z,,53.1,,55,,,42.7
2018-02-10T00:19:14.633Z,,,,55,,,42.6
2018-02-10T00:19:24.633Z,,,,55,,,42.6
2018-02-10T00:19:44.633Z,,,,55,,,42.5
2018-02-10T00:19:54.635Z,,,,55,,,42.4
2018-02-10T00:20:14.633Z,,,,55,,,42.4
2018-02-10T00:20:24.636Z,,,,55,,,42.3
2018-02-10T00:20:34.634Z,,53.2,,,,,
2018-02-10T00:20:44.633Z,,,,55,,,42.2
2018-02-10T00:20:54.634Z,,53.2,,55,,,42.2
2018-02-10T00:21:04.633Z,,54.4,1,55,0,79,42
2018-02-10T00:21:14.634Z,,60.6,,55,,54,42
2018-02-10T00:21:24.633Z,,61.1,,55,,29,41.9
2018-02-10T00:21:34.633Z,,57.5,,55,,,41.9
2018-02-10T00:21:44.634Z,,52.7,,55,,,41.8
2018-02-10T00:21:54.633Z,,51,,55,,,41.8
2018-02-10T00:22:04.633Z,,50.7,,55,,,41.8
2018-02-10T00:22:14.633Z,,50.2,,55,,,41.7
2018-02-10T00:22:25.632Z,,51.5,,55,,,41.7
2018-02-10T00:22:34.634Z,,,,55,,,41.6
2018-02-10T00:22:44.634Z,,51.9,,,,,
2018-02-10T00:22:54.633Z,,,,55,,,41.6
2018-02-10T00:23:04.634Z,,,,55,,,41.6
2018-02-10T00:23:14.633Z,,52.2,,55,,,41.6
2018-02-10T00:23:24.634Z,,,,55,,,41.7
2018-02-10T00:23:34.634Z,,52.3,,,,,
2018-02-10T00:23:44.634Z,,52.6,,55,,,41.7
2018-02-10T00:23:54.633Z,,,,55,,,41.7
2018-02-10T00:24:04.634Z,,53,,,,,
2018-02-10T00:24:14.633Z,,,,55,,,41.8
2018-02-10T00:24:24.651Z,,53.1,,,,,
2018-02-10T00:24:34.633Z,,53.3,,55,,,41.8
2018-02-10T00:24:44.634Z,,53.4,,55,,,41.9
2018-02-10T00:24:54.635Z,,53.5,,,,,
2018-02-10T00:25:04.634Z,,53.7,,55,,,41.9
2018-02-10T00:25:14.634Z,,54,,55,,,42
2018-02-10T00:25:24.634Z,,54.1,,55,,,42
2018-02-10T00:25:34.635Z,,54.2,,,,,
2018-02-10T00:25:44.634Z,,54.5,,55,,,42.2
2018-02-10T00:25:54.634Z,,,,55,,,42.3
2018-02-10T00:26:04.635Z,,54.7,,,,,
2018-02-10T00:26:14.634Z,,54.9,,55,,,42.4
2018-02-10T00:26:24.634Z,,55,,55,,,42.4
2018-02-10T00:26:34.635Z,,55.1,,55,,,42.4
2018-02-10T00:26:44.634Z,,55.3,,55,,,42.5
2018-02-10T00:26:54.634Z,,55.5,,55,,,42.6
2018-02-10T00:27:04.635Z,,55.6,,,,,
2018-02-10T00:27:14.634Z,,55.9,,55,,,42.7
2018-02-10T00:27:24.634Z,,56,,55,,,42.7
2018-02-10T00:27:34.634Z,,,,55,,,42.8
2018-02-10T00:27:44.634Z,,56.2,,55,,,42.8
2018-02-10T00:27:54.634Z,,56.4,,55,,,43
2018-02-10T00:28:04.635Z,,56.5,,55,,,43.1
2018-02-10T00:28:14.634Z,,,,55,,,43.1
2018-02-10T00:28:24.634Z,,56.6,,55,,,43.2
2018-02-10T00:28:34.634Z,,57,,55,,,43.3
2018-02-10T00:28:44.636Z,,,,55,,,43.3
2018-02-10T00:28:55.632Z,,57.1,,55,,,43.5
2018-02-10T00:29:04.638Z,,57.2,,55,,,43.5
2018-02-10T00:29:14.634Z,,57.4,,55,,,43.5
2018-02-10T00:29:24.635Z,,,,55,,,43.6
2018-02-10T00:29:34.638Z,,57.6,,,,,
2018-02-10T00:29:44.637Z,,57.8,,55,,,43.7
2018-02-10T00:29:54.634Z,,,,55,,,43.9
2018-02-10T00:30:04.638Z,,58,,55,,,44
2018-02-10T00:30:14.636Z,,,,55,,,44.1
2018-02-10T00:30:24.634Z,,58.1,,,,,
2018-02-10T00:30:34.634Z,,58.3,,55,,,44.1
2018-02-10T00:30:44.635Z,,58.4,,55,,,44.3
2018-02-10T00:30:54.639Z,,58.5,,,,,
2018-02-10T00:31:04.636Z,,58.6,,55,,,44.4
2018-02-10T00:31:14.635Z,,58.7,,55,,,44.4
2018-02-10T00:31:24.638Z,,59,,55,,,44.5
2018-02-10T00:31:34.635Z,,,,55,,,44.7
2018-02-10T00:31:49.655Z,,59.1,,55,,,44.7
2018-02-10T00:31:54.635Z,,,,55,,,44.8
2018-02-10T00:32:04.635Z,,59.2,,55,,,44.9
2018-02-10T00:32:14.635Z,,59.5,,55,,0,44.9
2018-02-10T00:32:25.628Z,,59.7,1,55,0,,45
2018-02-10T00:32:34.635Z,,57.9,,55,,,45
2018-02-10T00:32:44.635Z,,56.4,,55,,,45.1
2018-02-10T00:32:54.648Z,,56,,55,,,45.2
2018-02-10T00:33:04.642Z,,55.8,,55,,,45.3
2018-02-10T00:33:14.648Z,,56,,55,,,45.3
2018-02-10T00:33:24.635Z,,56.1,,55,,,45.5
2018-02-10T00:33:34.636Z,,56.4,,55,,,45.5
2018-02-10T00:33:44.635Z,,55.9,,55,,,45.5
2018-02-10T00:33:54.635Z,,55.7,,55,,,45.6
2018-02-10T00:34:04.636Z,,55.3,,55,,,45.6
2018-02-10T00:34:19.688Z,,54.9,,55,,,45.6
2018-02-10T00:34:24.636Z,,54.8,,55,,,45.6
2018-02-10T00:34:40.122Z,,54.6,,55,,,45.6
2018-02-10T00:34:44.635Z,,54.3,,55,,,45.6
2018-02-10T00:34:54.645Z,75,54.2,1,55,0,0,45.6
2018-02-10T00:35:04.637Z,,53.9,,55,,,45.6
2018-02-10T00:35:14.635Z,,53.7,,55,,,45.6
2018-02-10T00:35:24.636Z,,53.6,,55,,,45.5
2018-02-10T00:35:34.635Z,,53.7,,55,,,45.5
2018-02-10T00:35:44.635Z,,53.8,,55,,,45.5
2018-02-10T00:35:54.636Z,,53.9,,55,,,45.3
2018-02-10T00:36:04.635Z,,54,,55,,,45.3
2018-02-10T00:36:14.635Z,,54.1,,55,,,45.2
2018-02-10T00:36:24.642Z,,54.2,,55,,,45.2
2018-02-10T00:36:34.636Z,,54.3,,55,,,45.2
2018-02-10T00:36:44.635Z,,54.4,,55,,,45.1
2018-02-10T00:36:54.636Z,,54.6,,55,,,45.1
2018-02-10T00:37:04.636Z,,,,55,,,45
2018-02-10T00:37:14.637Z,,54.7,,55,,,45
2018-02-10T00:37:24.635Z,,54.8,,55,,,44.9
2018-02-10T00:37:34.636Z,,,,55,,,44.9
2018-02-10T00:37:44.636Z,,54.9,,55,,,44.9
2018-02-10T00:37:54.636Z,,,,55,,,44.8
2018-02-10T00:38:04.636Z,,55,,55,,,44.8
2018-02-10T00:38:14.636Z,,,,55,,,44.8
2018-02-10T00:38:24.638Z,,55.1,,55,,,44.7
2018-02-10T00:38:34.635Z,,,,55,,,44.7
2018-02-10T00:38:44.635Z,,55.2,,55,,,44.5
2018-02-10T00:38:54.638Z,,,,55,,,44.5
2018-02-10T00:39:04.635Z,,,,55,,,44.4
2018-02-10T00:39:14.637Z,,55.3,,55,,,44.4
2018-02-10T00:39:24.636Z,,,,55,,,44.3
2018-02-10T00:39:34.639Z,,,,55,,,44.3
2018-02-10T00:39:44.637Z,,55.5,,55,,,44.3
2018-02-10T00:39:54.637Z,,,,55,,,44.2
2018-02-10T00:40:04.636Z,,,,55,,,44.2
2018-02-10T00:40:14.639Z,,,,55,,,44.1
2018-02-10T00:40:24.636Z,,,,55,,,44.1
2018-02-10T00:40:34.636Z,,,,55,,,44
2018-02-10T00:40:44.636Z,,,,55,,,44
2018-02-10T00:40:54.636Z,,55.6,,55,,,43.9
2018-02-10T00:41:04.637Z,,,,55,,,43.9
2018-02-10T00:41:14.636Z,,,,55,,,43.9
2018-02-10T00:41:24.635Z,,,,55,,,43.7
2018-02-10T00:41:34.636Z,,,,55,,,43.7
2018-02-10T00:41:44.636Z,,,,55,,,43.6
2018-02-10T00:41:54.636Z,,,,55,,,43.6
2018-02-10T00:42:04.636Z,,,,55,,,43.5
2018-02-10T00:42:14.636Z,,,,55,,,43.5
2018-02-10T00:42:24.636Z,,,,55,,,43.4
2018-02-10T00:42:34.636Z,,,,55,,,43.4
2018-02-10T00:42:44.636Z,,,,55,,,43.3
2018-02-10T00:42:54.637Z,,,,55,,,43.3
2018-02-10T00:43:04.636Z,,57.2,1,55,0,80,43.2
2018-02-10T00:43:14.636Z,,62,,55,,62,43.2
2018-02-10T00:43:24.636Z,,63.2,,55,,50,43.1
2018-02-10T00:43:34.637Z,,58.7,,55,,29,43.1
2018-02-10T00:43:44.636Z,,54.6,,55,,,43
2018-02-10T00:43:54.636Z,,52.9,,55,,,43
2018-02-10T00:44:04.636Z,,51.8,,55,,,42.8
2018-02-10T00:44:14.637Z,,51.4,,55,,,42.8
2018-02-10T00:44:24.636Z,,52,,55,,,42.8
2018-02-10T00:44:35.637Z,,53,,55,,,42.8
2018-02-10T00:44:44.637Z,,53.1,,55,,,42.7
2018-02-10T00:44:54.637Z,,,,55,,,42.7
2018-02-10T00:45:04.637Z,,53,,55,,,42.7
2018-02-10T00:45:14.640Z,,,,55,,,42.7
2018-02-10T00:45:24.636Z,,53.2,,55,,,42.7
2018-02-10T00:45:34.637Z,,53.4,,55,,,42.8
2018-02-10T00:45:44.637Z,,53.6,,55,,,42.8
2018-02-10T00:45:54.637Z,,53.7,,55,,,42.8
2018-02-10T00:46:04.638Z,,54,,55,,,42.8
2018-02-10T00:46:14.636Z,,,,55,,,42.8
2018-02-10T00:46:24.636Z,,54.2,,55,,,42.8
2018-02-10T00:46:34.637Z,,54.4,,55,,,43
2018-02-10T00:46:44.637Z,,54.5,,55,,,43
2018-02-10T00:46:54.637Z,,54.7,,55,,,43
2018-02-10T00:47:04.637Z,,55,,55,,,43.1
2018-02-10T00:47:14.637Z,,,,55,,,43.1
2018-02-10T00:47:25.630Z,,55.1,,55,,,43.1
2018-02-10T00:47:34.637Z,,55.2,,55,,,43.2
2018-02-10T00:47:44.638Z,,55.5,,55,,,43.2
2018-02-10T00:47:54.640Z,,55.6,,55,,,43.3
2018-02-10T00:48:04.638Z,,55.8,,55,,,43.3
2018-02-10T00:48:14.637Z,,56,,55,,,43.4
2018-02-10T00:48:24.637Z,,,,55,,,43.4
2018-02-10T00:48:34.637Z,,56.2,,55,,,43.5
2018-02-10T00:48:44.638Z,,56.3,,55,,,43.5
2018-02-10T00:48:54.637Z,,56.4,,55,,,43.6
2018-02-10T00:49:04.638Z,,56.6,,55,,,43.6
2018-02-10T00:49:14.638Z,,56.7,,55,,,43.7
2018-02-10T00:49:24.637Z,,57,,55,,,43.7
2018-02-10T00:49:34.637Z,,,,55,,,43.9
2018-02-10T00:49:45.686Z,,57.1,,55,,,43.9
2018-02-10T00:49:54.637Z,,57.2,,55,,,44
2018-02-10T00:50:04.639Z,,57.4,,55,,,44.1
2018-02-10T00:50:19.658Z,,57.6,,55,,,44.1
2018-02-10T00:50:24.638Z,,57.7,,55,,,44.2
2018-02-10T00:50:34.639Z,,,,55,,,44.2
2018-02-10T00:50:44.638Z,,57.8,,55,,,44.3
2018-02-10T00:50:54.637Z,,57.9,,55,,,44.4
2018-02-10T00:51:04.638Z,,58.1,,55,,,44.4
2018-02-10T00:51:14.637Z,,58.3,,55,,,44.5
2018-02-10T00:51:24.637Z,,,,55,,,44.5
2018-02-10T00:51:34.638Z,,58.5,,55,,,44.7
2018-02-10T00:51:45.637Z,,58.6,,55,,,44.8
2018-02-10T00:51:54.639Z,,58.7,,55,,,44.8
2018-02-10T00:52:04.637Z,,,,55,,,44.9
2018-02-10T00:52:14.637Z,,59,,55,,,45
2018-02-10T00:52:24.638Z,,,,55,,,45
2018-02-10T00:52:34.637Z,,59.1,,55,,,45.1
2018-02-10T00:52:44.640Z,,59.2,,55,,,45.2
2018-02-10T00:52:54.638Z,,59.3,,55,,,45.2
2018-02-10T00:53:04.638Z,,59.4,,55,,,45.3
2018-02-10T00:53:14.639Z,,59.5,,55,,,45.3
2018-02-10T00:53:24.638Z,,59.7,,55,,,45.5
2018-02-10T00:53:34.638Z,,,,55,,,45.6
2018-02-10T00:53:44.638Z,,59.9,,55,,,45.6
2018-02-10T00:53:54.638Z,,60,,55,,,45.7
2018-02-10T00:54:04.638Z,,,,55,,,45.8
2018-02-10T00:54:14.638Z,,60.1,,55,,,45.8
2018-02-10T00:54:24.638Z,,60.2,,55,,,45.9
2018-02-10T00:54:34.639Z,,60.4,,55,,,45.9
2018-02-10T00:54:44.638Z,,,,55,,,46
2018-02-10T00:54:54.638Z,,60.5,,55,,,46
2018-02-10T00:55:05.685Z,,60.6,,55,,,46.1
2018-02-10T00:55:14.640Z,,60.7,,55,,,46.2
2018-02-10T00:55:24.638Z,,61,,55,,,46.4
2018-02-10T00:55:34.638Z,,,,55,,,46.4
2018-02-10T00:55:44.641Z,,,,55,,,46.4
2018-02-10T00:55:54.639Z,,61.1,,55,,,46.5
2018-02-10T00:56:04.638Z,,61.2,,55,,,46.6
2018-02-10T00:56:14.639Z,,61.4,,55,,,46.6
2018-02-10T00:56:24.638Z,,61.5,,55,,,46.7
2018-02-10T00:56:34.638Z,,61.6,,55,,,46.8
2018-02-10T00:56:44.638Z,,61.7,,55,,,46.8
2018-02-10T00:56:54.638Z,,61.8,1,55,0,0,46.9
2018-02-10T00:57:04.638Z,,60.9,,55,,,46.9
2018-02-10T00:57:14.638Z,,59.9,,55,,,47
2018-02-10T00:57:25.782Z,,58.9,,55,,,47.2
2018-02-10T00:57:34.638Z,,58.5,,55,,,47.2
2018-02-10T00:57:44.638Z,,58.3,,55,,,47.3
2018-02-10T00:57:54.638Z,,58.4,,55,,,47.3
2018-02-10T00:58:04.638Z,,58.6,,55,,,47.4
2018-02-10T00:58:14.638Z,,58.3,,55,,,47.4
2018-02-10T00:58:24.639Z,,57.8,,55,,,47.4
2018-02-10T00:58:34.639Z,,57.6,,55,,,47.4
2018-02-10T00:58:44.638Z,,57.3,,55,,,47.5
2018-02-10T00:58:54.639Z,,56.9,,55,,,47.5
2018-02-10T00:59:05.639Z,,56.8,,55,,,47.4
2018-02-10T00:59:14.639Z,,56.6,,55,,,47.4
2018-02-10T00:59:24.639Z,,56.4,,55,,,47.4
2018-02-10T00:59:34.638Z,,55.9,,55,,,47.4
2018-02-10T00:59:44.638Z,,,,55,,,47.3
2018-02-10T00:59:54.638Z,,55.6,,55,,,47.3
2018-02-10T01:00:04.638Z,,,,55,,,47.3
2018-02-10T01:00:15.630Z,,55.7,,55,,,47.2
2018-02-10T01:00:24.639Z,,56,,55,,,47.2
2018-02-10T01:00:34.639Z,,,,55,,,47
2018-02-10T01:00:44.639Z,,56.1,,55,,,47
2018-02-10T01:00:54.638Z,,56.2,,55,,,46.9
2018-02-10T01:01:04.640Z,,56.4,,55,,,46.9
2018-02-10T01:01:14.639Z,,56.5,,55,,,46.8
2018-02-10T01:01:24.639Z,,,,55,,,46.8
2018-02-10T01:01:34.639Z,,56.6,,55,,,46.7
2018-02-10T01:01:44.639Z,,,,55,,,46.7
2018-02-10T01:01:54.639Z,,56.7,,55,,,46.7
2018-02-10T01:02:04.640Z,,56.8,,55,,,46.6
2018-02-10T01:02:14.638Z,,,,55,,,46.6
2018-02-10T01:02:24.640Z,,56.9,,55,,,46.5
2018-02-10T01:02:34.639Z,,57,,55,,,46.5
2018-02-10T01:02:44.639Z,,,,55,,,46.4
2018-02-10T01:02:54.639Z,,,,55,,,46.4
2018-02-10T01:03:05.676Z,,,,55,,,46.4
2018-02-10T01:03:14.639Z,,57.2,,55,,,46.2
2018-02-10T01:03:24.643Z,,,,55,,,46.2
2018-02-10T01:03:34.640Z,,,,55,,,46.1
2018-02-10T01:03:44.639Z,,57.3,,55,,,46.1
2018-02-10T01:03:54.639Z,,,,55,,,46
2018-02-10T01:04:04.640Z,,,,55,,,46
2018-02-10T01:04:14.639Z,,,,55,,,45.9
2018-02-10T01:04:24.640Z,,57.4,,55,,,45.9
2018-02-10T01:04:34.639Z,,,,55,,,45.8
2018-02-10T01:04:44.639Z,,,,55,,,45.8
2018-02-10T01:04:55.680Z,,,,55,,,45.7
2018-02-10T01:05:04.646Z,,,,55,,,45.7
2018-02-10T01:05:14.639Z,,57.5,,55,,,45.6
2018-02-10T01:05:24.643Z,,,,55,,,45.6
2018-02-10T01:05:34.639Z,,,,55,,,45.5
2018-02-10T01:05:44.639Z,,,,55,,,45.5
2018-02-10T01:05:59.659Z,,,,55,,,45.3
2018-02-10T01:06:04.642Z,,,,55,,,45.3
2018-02-10T01:06:14.639Z,,,,55,,,45.2
2018-02-10T01:06:24.639Z,,,,55,,,45.2
2018-02-10T01:06:34.639Z,,,,55,,,45.1
2018-02-10T01:06:44.639Z,,,,55,,,45.1
2018-02-10T01:06:54.639Z,,,,55,,,45
2018-02-10T01:07:04.639Z,,,,55,,,45
2018-02-10T01:07:14.639Z,,,,55,,,44.9
2018-02-10T01:07:24.641Z,,,,55,,,44.9
2018-02-10T01:07:34.640Z,,,,55,,,44.8
2018-02-10T01:07:44.640Z,,,,55,,,44.8
2018-02-10T01:07:54.640Z,,,,55,,,44.7
2018-02-10T01:08:04.640Z,,,,55,,,44.5
2018-02-10T01:08:14.642Z,,,,55,,,44.5
2018-02-10T01:08:24.640Z,,,,55,,,44.4
2018-02-10T01:08:34.640Z,,57.5,1,55,0,79,44.4
2018-02-10T01:08:49.890Z,,62.1,,55,,78,44.3
2018-02-10T01:08:54.640Z,,65.2,,55,,44,44.3
2018-02-10T01:09:04.640Z,,61.8,,55,,29,44.2
2018-02-10T01:09:14.640Z,,56.8,,55,,,44.2
2018-02-10T01:09:24.640Z,,53.7,,55,,,44.1
2018-02-10T01:09:34.640Z,,52.9,,55,,,44.1
2018-02-10T01:09:44.640Z,,52.2,,55,,,44
2018-02-10T01:09:54.640Z,,53,,55,,,44
2018-02-10T01:10:04.640Z,,53.3,,55,,,44
2018-02-10T01:10:16.741Z,,53.7,,55,,,44
2018-02-10T01:10:24.640Z,,,,55,,,44
2018-02-10T01:10:34.641Z,,53.6,,55,,,44
2018-02-10T01:10:44.640Z,,,,55,,,44
2018-02-10T01:10:54.643Z,,54,,55,,,44
2018-02-10T01:11:04.640Z,,,,55,,,44
2018-02-10T01:11:14.641Z,,54.1,,55,,,44
2018-02-10T01:11:24.644Z,,54.3,,55,,,44
2018-02-10T01:11:34.640Z,,54.4,,55,,,44
2018-02-10T01:11:44.640Z,,54.5,,55,,,44
2018-02-10T01:11:54.641Z,,54.8,,55,,,44
2018-02-10T01:12:04.640Z,,55,,55,,,44
2018-02-10T01:12:14.640Z,,55.1,,55,,,44
2018-02-10T01:12:24.641Z,,55.2,,55,,,44.1
2018-02-10T01:12:34.640Z,,55.5,,55,,,44.1
2018-02-10T01:12:44.640Z,,55.6,,55,,,44.1
2018-02-10T01:12:54.641Z,,55.7,,55,,,44.1
2018-02-10T01:13:05.639Z,,55.8,,55,,,44.2
2018-02-10T01:13:14.642Z,,56,,55,,,44.2
2018-02-10T01:13:24.641Z,,56.2,,55,,,44.2
2018-02-10T01:13:34.641Z,,56.3,,55,,,44.3
2018-02-10T01:13:44.641Z,,56.4,,55,,,44.3
2018-02-10T01:13:54.640Z,,56.6,,55,,,44.4
2018-02-10T01:14:04.641Z,,56.7,,55,,,44.4
2018-02-10T01:14:14.642Z,,56.9,,55,,,44.4
2018-02-10T01:14:24.640Z,,57,,55,,,44.5
2018-02-10T01:14:34.641Z,,57.1,,55,,,44.5
2018-02-10T01:14:44.640Z,,57.2,,55,,,44.7
2018-02-10T01:14:54.641Z,,57.3,,55,,,44.7
2018-02-10T01:15:04.641Z,,57.4,,55,,,44.8
2018-02-10T01:15:14.642Z,,57.6,,55,,,44.8
2018-02-10T01:15:24.640Z,,57.7,,55,,,44.9
2018-02-10T01:15:34.641Z,,57.8,,55,,,44.9
2018-02-10T01:15:44.642Z,,58,,55,,,45
2018-02-10T01:15:55.634Z,,,,55,,,45
2018-02-10T01:16:04.641Z,,58.1,,55,,,45.1
2018-02-10T01:16:14.643Z,,58.3,,55,,,45.1
2018-02-10T01:16:24.641Z,,58.4,,55,,,45.2
2018-02-10T01:16:34.642Z,,58.5,,55,,,45.2
2018-02-10T01:16:45.636Z,,58.6,,55,,,45.3
2018-02-10T01:16:54.641Z,,58.8,,55,,,45.5
2018-02-10T01:17:04.641Z,,58.9,1,55,0,0,45.5
2018-02-10T01:17:14.641Z,,57.7,,55,,,45.5
2018-02-10T01:17:24.641Z,,55.7,,55,,,45.6
2018-02-10T01:17:34.643Z,,55.6,,55,,,45.7
2018-02-10T01:17:44.642Z,,55.1,,55,,,45.7
2018-02-10T01:17:54.641Z,,55,,55,,,45.8
2018-02-10T01:18:04.643Z,,55.3,,55,,,45.8
2018-02-10T01:18:14.641Z,,55.6,,55,,,45.9
2018-02-10T01:18:24.642Z,,55.2,,55,,,45.9
2018-02-10T01:18:34.643Z,,54.9,,55,,,45.9
2018-02-10T01:18:49.661Z,,54.6,,55,,,45.9
2018-02-10T01:18:54.642Z,,54.2,,55,,,46
2018-02-10T01:19:04.641Z,,53.9,,55,,,45.9
2018-02-10T01:19:14.642Z,,53.8,,55,,,45.9
2018-02-10T01:19:24.641Z,,53.6,,55,,,45.9
2018-02-10T01:19:34.643Z,,53.3,,55,,,45.9
2018-02-10T01:19:44.642Z,,53.1,,55,,,45.9
2018-02-10T01:19:54.642Z,,52.9,,55,,,45.8
2018-02-10T01:20:04.642Z,,52.8,,55,,,45.8
2018-02-10T01:20:14.642Z,,,,55,,,45.8
2018-02-10T01:20:24.642Z,,53,,55,,,45.7
