Time,PrimTSet,HwTSet,ChActive,HwTOutlet,HwActive,PrimT,ActPow
2017-11-05T00:00:15.943Z,,52,,26.2,,,
2017-11-05T00:00:25.940Z,,,,,,33.3,
2017-11-05T00:00:35.936Z,,52,,26.2,,,
2017-11-05T00:00:45.936Z,,52,,26.2,,,
2017-11-05T00:00:55.936Z,,52,,26.2,,,
2017-11-05T00:01:15.935Z,,52,,26.1,,,
2017-11-05T00:01:35.937Z,,52,,26.1,,,
2017-11-05T00:01:55.936Z,,52,,26.1,,,
2017-11-05T00:02:15.937Z,,52,,26.1,,,
2017-11-05T00:02:36.087Z,,52,,26.1,,,
2017-11-05T00:02:55.941Z,,52,,26.1,,,
2017-11-05T00:03:15.935Z,,52,,26.1,,,
2017-11-05T00:03:25.935Z,,,,,,33.2,
2017-11-05T00:03:35.936Z,,52,,26.1,,,
2017-11-05T00:03:45.941Z,,52,,26.1,,,
2017-11-05T00:03:55.946Z,,52,,26.1,,,
2017-11-05T00:04:15.936Z,,52,,26.1,,,
2017-11-05T00:04:35.936Z,,52,,26.1,,,
2017-11-05T00:04:55.935Z,,52,,26.1,,,
2017-11-05T00:05:15.939Z,,52,,26.1,,,
2017-11-05T00:05:35.935Z,,52,,26.1,,,
2017-11-05T00:05:55.935Z,,52,,26,,,
2017-11-05T00:06:15.935Z,,52,,26,,,
2017-11-05T00:06:35.935Z,,52,,26,,33.1,
2017-11-05T00:06:45.942Z,,52,,26,,,
2017-11-05T00:06:55.936Z,,52,,26,,,
2017-11-05T00:07:16.006Z,,52,,26,,,
2017-11-05T00:07:35.935Z,,52,,26,,,
2017-11-05T00:07:55.935Z,,52,,26,,,
2017-11-05T00:08:15.953Z,,52,,26,,,
2017-11-05T00:08:35.936Z,,52,,26,,,
2017-11-05T00:08:45.935Z,,52,,26,,,
2017-11-05T00:08:55.935Z,,52,,26,,,
2017-11-05T00:09:15.940Z,,52,,26,,,
2017-11-05T00:09:25.935Z,,,,,,33.1,
2017-11-05T00:09:35.935Z,,52,,26,,32.9,
2017-11-05T00:09:45.940Z,,,,,,33.1,
2017-11-05T00:09:55.940Z,,,,,,32.9,
2017-11-05T00:10:05.935Z,,52,,26,,,
2017-11-05T00:10:15.935Z,5,,0,,0,32.9,0
2017-11-05T00:10:25.935Z,,52,,26,,,
2017-11-05T00:10:35.939Z,,52,,26,,,
2017-11-05T00:10:45.936Z,,52,,25.9,,,
2017-11-05T00:10:55.936Z,,52,,25.9,,,
2017-11-05T00:11:15.937Z,,52,,25.9,,,
2017-11-05T00:11:35.936Z,,52,,25.9,,,
2017-11-05T00:11:55.935Z,,52,,25.9,,,
2017-11-05T00:12:15.937Z,,52,,25.9,,,
2017-11-05T00:12:35.938Z,,52,,25.9,,,
2017-11-05T00:12:55.939Z,,52,,25.9,,,
2017-11-05T00:13:15.938Z,,52,,25.9,,,
2017-11-05T00:13:25.935Z,,,,,,32.8,
2017-11-05T00:13:35.935Z,,52,,25.9,,,
2017-11-05T00:13:55.935Z,,52,,25.9,,,
2017-11-05T00:14:15.937Z,,52,,25.9,,,
2017-11-05T00:14:25.935Z,0,,0,,0,32.9,0
2017-11-05T00:14:35.938Z,,52,0,33.2,0,33.1,
2017-11-05T00:14:45.935Z,,,,,,32.9,
2017-11-05T00:15:05.939Z,,52,,33.2,,,
2017-11-05T00:15:15.940Z,,52,,33.2,,,
2017-11-05T00:15:35.940Z,5,52,,32.9,,,
2017-11-05T00:15:45.935Z,,52,,32.8,,32.8,
2017-11-05T00:15:55.936Z,,52,,32.8,,,
2017-11-05T00:16:15.934Z,,52,,32.7,,,
2017-11-05T00:16:35.941Z,,52,,32.5,,,
2017-11-05T00:16:55.941Z,,52,,32.4,,,
2017-11-05T00:17:15.936Z,,52,,32.3,,,
2017-11-05T00:17:35.936Z,,52,,32.2,,32.7,
2017-11-05T00:17:55.940Z,,52,,32.1,,,
2017-11-05T00:18:15.935Z,,52,,32,,,
2017-11-05T00:18:35.935Z,,52,,31.8,,,
2017-11-05T00:18:55.936Z,,52,,31.6,,,
2017-11-05T00:19:15.935Z,,52,,31.6,,,
2017-11-05T00:19:25.935Z,,,,,,32.6,
2017-11-05T00:19:35.935Z,,52,,31.4,,,
2017-11-05T00:19:55.935Z,,52,,31.4,,,
2017-11-05T00:20:15.935Z,,52,,31.3,,,
2017-11-05T00:20:35.935Z,,52,,31.2,,,
2017-11-05T00:20:55.935Z,,52,,31,,,
2017-11-05T00:21:15.935Z,,52,,30.9,,,
2017-11-05T00:21:25.935Z,,,,,,32.5,
2017-11-05T00:21:35.935Z,,52,,30.8,,,
2017-11-05T00:21:55.935Z,,52,,30.7,,,
2017-11-05T00:22:15.935Z,,52,,30.7,,,
2017-11-05T00:22:35.935Z,,52,,30.6,,,
2017-11-05T00:22:55.935Z,,52,,30.4,,,
2017-11-05T00:23:15.935Z,,52,,30.4,,,
2017-11-05T00:23:35.935Z,,52,,30.3,,32.4,
2017-11-05T00:23:55.935Z,,52,,30.2,,,
2017-11-05T00:24:15.935Z,,52,,30.1,,,
2017-11-05T00:24:35.936Z,,52,,30,,,
2017-11-05T00:24:45.935Z,,52,,30,,,
2017-11-05T00:24:55.935Z,,52,,30,,,
2017-11-05T00:25:15.935Z,,52,,29.8,,,
2017-11-05T00:25:35.935Z,,52,,29.8,,,
2017-11-05T00:25:45.935Z,,,,,,32.3,
2017-11-05T00:25:55.935Z,,52,,29.7,,,
2017-11-05T00:26:15.937Z,,52,,29.7,,,
2017-11-05T00:26:35.935Z,,52,,29.6,,,
2017-11-05T00:26:45.934Z,,52,,29.5,,,
2017-11-05T00:26:55.935Z,,52,,29.5,,,
2017-11-05T00:27:15.935Z,,52,,29.5,,,
2017-11-05T00:27:35.941Z,,52,,29.3,,,
2017-11-05T00:27:45.935Z,,,,,,32.2,
2017-11-05T00:27:55.935Z,,52,,29.2,,,
2017-11-05T00:28:15.935Z,,52,,29.2,,,
2017-11-05T00:28:35.939Z,,52,,29.1,,,
2017-11-05T00:28:45.934Z,,52,,29.1,,,
2017-11-05T00:28:55.935Z,,52,,29.1,,,
2017-11-05T00:29:15.935Z,,52,,29,,,
2017-11-05T00:29:35.935Z,,52,,28.9,,,
2017-11-05T00:29:55.937Z,,52,,28.9,,,
2017-11-05T00:30:15.935Z,,52,,28.9,,,
2017-11-05T00:30:35.935Z,,52,,28.7,,,
2017-11-05T00:30:45.938Z,,,,,,32.1,
2017-11-05T00:30:55.939Z,,52,,28.7,,,
2017-11-05T00:31:15.938Z,,52,,28.6,,,
2017-11-05T00:31:35.935Z,,52,,28.6,,,
2017-11-05T00:31:55.934Z,,52,,28.5,,,
2017-11-05T00:32:15.939Z,,52,,28.5,,,
2017-11-05T00:32:35.940Z,,52,,28.4,,,
2017-11-05T00:32:55.935Z,,52,,28.4,,,
2017-11-05T00:33:15.935Z,,52,,28.4,,,
2017-11-05T00:33:25.935Z,,,,,,32,
2017-11-05T00:33:35.939Z,,52,,28.3,,,
2017-11-05T00:33:55.936Z,,52,,28.3,,,
2017-11-05T00:34:15.935Z,,52,,28.1,,,
2017-11-05T00:34:35.940Z,,52,,28.1,,,
2017-11-05T00:34:55.935Z,,52,,28,,,
2017-11-05T00:35:15.935Z,,52,,28,,,
2017-11-05T00:35:35.934Z,,52,,28,,,
2017-11-05T00:35:45.934Z,,52,,27.9,,,
2017-11-05T00:35:55.935Z,,,,,,31.9,
2017-11-05T00:36:05.935Z,,52,,27.9,,31.9,
2017-11-05T00:36:15.934Z,,52,,27.9,,31.9,
2017-11-05T00:36:25.939Z,,,,,,31.9,
2017-11-05T00:36:35.935Z,,52,,27.9,,,
2017-11-05T00:36:45.935Z,,52,,27.8,,,
2017-11-05T00:36:55.934Z,,52,,27.8,,,
2017-11-05T00:37:15.935Z,,52,,27.8,,,
2017-11-05T00:37:35.934Z,,52,,27.7,,,
2017-11-05T00:37:55.936Z,,52,,27.7,,,
2017-11-05T00:38:15.944Z,,52,,27.7,,,
2017-11-05T00:38:35.938Z,,52,,27.5,,,
2017-11-05T00:38:55.978Z,,52,,27.5,,,
2017-11-05T00:39:15.935Z,,52,,27.5,,,
2017-11-05T00:39:35.934Z,,52,,27.4,,,
2017-11-05T00:39:45.939Z,,,,,,31.8,
2017-11-05T00:39:55.934Z,,52,,27.4,,,
2017-11-05T00:40:15.934Z,,52,,27.4,,,
2017-11-05T00:40:35.935Z,,52,,27.4,,,
2017-11-05T00:40:45.937Z,,52,,27.3,,,
2017-11-05T00:40:55.934Z,,52,,27.3,,,
2017-11-05T00:41:15.934Z,,52,,27.3,,,
2017-11-05T00:41:35.935Z,,52,,27.3,,,
2017-11-05T00:41:55.934Z,,52,,27.2,,,
2017-11-05T00:42:15.934Z,,52,,27.2,,,
2017-11-05T00:42:35.934Z,,52,,27.2,,,
2017-11-05T00:42:55.935Z,,52,,27.1,,,
2017-11-05T00:43:05.935Z,,,,,,31.7,
2017-11-05T00:43:15.935Z,,52,,27.1,,,
2017-11-05T00:43:25.934Z,,,,,,31.7,
2017-11-05T00:43:35.934Z,,52,,27.1,,,
2017-11-05T00:43:55.934Z,,52,,27.1,,,
2017-11-05T00:44:15.934Z,,52,,27.1,,,
2017-11-05T00:44:35.940Z,,52,,26.9,,,
2017-11-05T00:44:45.934Z,,52,,26.9,,,
2017-11-05T00:44:55.935Z,,52,,26.9,,,
2017-11-05T00:45:15.934Z,,52,,26.9,,,
2017-11-05T00:45:35.934Z,,52,,26.8,,,
2017-11-05T00:45:45.939Z,,52,,26.8,,,
2017-11-05T00:45:55.937Z,,52,,26.8,,,
2017-11-05T00:46:15.934Z,,52,,26.8,,,
2017-11-05T00:46:35.940Z,,52,,26.8,,31.6,
2017-11-05T00:46:55.934Z,,52,,26.8,,,
2017-11-05T00:47:15.934Z,,52,,26.7,,,
2017-11-05T00:47:35.934Z,,52,,26.7,,,
2017-11-05T00:47:55.934Z,,52,,26.7,,,
2017-11-05T00:48:15.934Z,,52,,26.7,,,
2017-11-05T00:48:35.935Z,,52,,26.6,,,
2017-11-05T00:48:45.934Z,,52,,26.6,,,
2017-11-05T00:48:55.934Z,,52,,26.6,,,
2017-11-05T00:49:15.934Z,,52,,26.6,,,
2017-11-05T00:49:35.937Z,,52,,26.6,,,
2017-11-05T00:49:55.939Z,,52,,26.6,,,
2017-11-05T00:50:15.934Z,,52,,26.5,,,
2017-11-05T00:50:35.934Z,,52,,26.5,,31.6,
2017-11-05T00:50:45.934Z,,52,,26.5,,31.5,
2017-11-05T00:50:55.934Z,,52,,26.5,,,
2017-11-05T00:51:15.937Z,,52,,26.5,,,
2017-11-05T00:51:35.934Z,,52,,26.5,,,
2017-11-05T00:51:55.937Z,,52,,26.3,,,
2017-11-05T00:52:15.935Z,,52,,26.3,,,
2017-11-05T00:52:35.934Z,,52,,26.3,,,
2017-11-05T00:52:55.935Z,,52,,26.3,,,
2017-11-05T00:53:15.934Z,,52,,26.3,,,
2017-11-05T00:53:35.934Z,,52,,26.2,,,
2017-11-05T00:53:45.934Z,,52,,26.2,,,
2017-11-05T00:53:55.934Z,,52,,26.2,,,
2017-11-05T00:54:15.934Z,,52,,26.2,,,
2017-11-05T00:54:35.937Z,,52,,26.2,,31.4,
2017-11-05T00:54:55.934Z,,52,,26.2,,,
2017-11-05T00:55:15.934Z,,52,,26.2,,,
2017-11-05T00:55:35.934Z,,52,,26.1,,,
2017-11-05T00:55:45.937Z,,52,,26.1,,,
2017-11-05T00:55:55.934Z,,52,,26.1,,,
2017-11-05T00:56:15.934Z,,52,,26.1,,,
2017-11-05T00:56:35.936Z,,52,,26.1,,,
2017-11-05T00:56:45.939Z,,52,,26.1,,,
2017-11-05T00:56:55.939Z,,52,,26.1,,,
2017-11-05T00:57:15.934Z,,52,,26.1,,,
2017-11-05T00:57:35.934Z,,52,,26,,31.3,
2017-11-05T00:57:45.933Z,,52,,26,,,
2017-11-05T00:57:55.934Z,,52,,26,,,
2017-11-05T00:58:05.934Z,,,,,,31.4,
2017-11-05T00:58:15.933Z,,52,,26,,,
2017-11-05T00:58:25.933Z,,,,,,31.3,
2017-11-05T00:58:35.934Z,,52,,26,,,
2017-11-05T00:58:55.934Z,,52,,26,,,
2017-11-05T00:59:15.934Z,,52,,25.9,,,
2017-11-05T00:59:35.934Z,,52,,25.9,,,
2017-11-05T00:59:55.937Z,,52,,25.9,,,
2017-11-05T01:00:15.934Z,,52,,25.9,,,
2017-11-05T01:00:35.934Z,,52,,25.9,,,
2017-11-05T01:00:45.934Z,,52,,25.9,,,
2017-11-05T01:00:55.934Z,,52,,25.9,,,
2017-11-05T01:01:15.934Z,,52,,25.9,,,
2017-11-05T01:01:35.934Z,,52,,25.7,,,
2017-11-05T01:01:45.934Z,,52,,25.7,,,
2017-11-05T01:01:55.934Z,,52,,25.7,,,
2017-11-05T01:02:15.933Z,,52,,25.7,,,
2017-11-05T01:02:25.938Z,,,,,,31.2,
2017-11-05T01:02:35.933Z,,52,,25.7,,,
2017-11-05T01:02:55.933Z,,52,,25.7,,,
2017-11-05T01:03:15.938Z,,52,,25.7,,,
2017-11-05T01:03:35.934Z,,52,,25.7,,,
2017-11-05T01:03:55.936Z,,52,,25.6,,,
2017-11-05T01:04:15.934Z,,52,,25.6,,,
2017-11-05T01:04:35.934Z,,52,,25.6,,,
2017-11-05T01:04:55.936Z,,52,,25.6,,,
2017-11-05T01:05:15.936Z,,52,,25.6,,,
2017-11-05T01:05:35.938Z,,52,,25.6,,,
2017-11-05T01:05:45.937Z,,,,,,31.1,
2017-11-05T01:05:55.933Z,,52,,25.6,,,
2017-11-05T01:06:15.937Z,,52,,25.6,,,
2017-11-05T01:06:25.934Z,,,,,,31.2,
2017-11-05T01:06:35.934Z,,52,,25.6,,31.1,
2017-11-05T01:06:45.934Z,,52,,25.5,,,
2017-11-05T01:06:55.933Z,,52,,25.5,,,
2017-11-05T01:07:15.938Z,,52,,25.5,,,
2017-11-05T01:07:35.933Z,,52,,25.5,,,
2017-11-05T01:07:55.933Z,,52,,25.5,,,
2017-11-05T01:08:15.933Z,,52,,25.5,,,
2017-11-05T01:08:35.985Z,,52,,25.5,,,
2017-11-05T01:08:45.933Z,,52,,25.5,,,
2017-11-05T01:08:55.938Z,,52,,25.5,,,
2017-11-05T01:09:15.933Z,,52,,25.5,,,
2017-11-05T01:09:35.934Z,,52,,25.4,,31.1,
2017-11-05T01:09:45.997Z,,,,,,31.1,
2017-11-05T01:09:55.987Z,,52,,25.4,,30.9,
2017-11-05T01:10:05.933Z,,52,,25.4,,31.1,
2017-11-05T01:10:15.970Z,5,,0,,0,30.9,0
2017-11-05T01:10:25.961Z,,52,,25.4,,,
2017-11-05T01:10:35.933Z,,52,,25.4,,,
2017-11-05T01:10:45.935Z,,52,,25.4,,,
2017-11-05T01:11:05.936Z,,52,,25.4,,,
2017-11-05T01:11:25.933Z,,52,,25.4,,,
2017-11-05T01:11:35.933Z,,52,,25.4,,,
2017-11-05T01:11:45.935Z,,52,,25.4,,,
2017-11-05T01:11:55.933Z,,52,,25.4,,,
2017-11-05T01:12:15.933Z,,52,,25.4,,,
2017-11-05T01:12:35.944Z,,52,,25.3,,,
2017-11-05T01:12:45.934Z,,52,,25.3,,,
2017-11-05T01:12:55.933Z,,52,,25.3,,,
2017-11-05T01:13:15.936Z,,52,,25.3,,,
2017-11-05T01:13:35.939Z,,52,,25.3,,,
2017-11-05T01:13:45.933Z,,,,,,30.9,
2017-11-05T01:13:55.933Z,,52,,25.3,,,
2017-11-05T01:14:05.938Z,,,,,,30.8,
2017-11-05T01:14:15.933Z,,52,,25.3,,,
2017-11-05T01:14:35.933Z,,52,,25.3,,,
2017-11-05T01:14:55.933Z,,52,,25.3,,,
2017-11-05T01:15:15.933Z,,52,,25.3,,,
2017-11-05T01:15:35.933Z,,52,,25.1,,,
2017-11-05T01:15:45.934Z,,52,,25.1,,,
2017-11-05T01:15:56.135Z,,52,,25.1,,,
2017-11-05T01:16:15.933Z,,52,,25.1,,,
2017-11-05T01:16:35.934Z,,52,,25.1,,,
2017-11-05T01:16:55.937Z,,52,,25.1,,,
2017-11-05T01:17:15.933Z,,52,,25.1,,,
2017-11-05T01:17:35.936Z,,52,,25.1,,,
2017-11-05T01:17:55.933Z,,52,,25.1,,,
2017-11-05T01:18:15.933Z,,52,,25.1,,,
2017-11-05T01:18:25.933Z,,,,,,30.7,
2017-11-05T01:18:35.933Z,,52,,25.1,,,
2017-11-05T01:18:55.935Z,,52,,25.1,,,
2017-11-05T01:19:15.933Z,,52,,25,,,
2017-11-05T01:19:35.933Z,,52,,25,,,
2017-11-05T01:19:45.933Z,,52,,25,,,
2017-11-05T01:19:55.938Z,,52,,25,,,
2017-11-05T01:20:15.936Z,,52,,25,,,
2017-11-05T01:20:35.938Z,,52,,25,,,
2017-11-05T01:20:55.933Z,,52,,25,,,
2017-11-05T01:21:15.934Z,,52,,25,,,
2017-11-05T01:21:35.936Z,,52,,25,,,
2017-11-05T01:21:45.933Z,,52,,25,,,
2017-11-05T01:21:55.933Z,,52,,25,,,
2017-11-05T01:22:15.933Z,,52,,25,,,
2017-11-05T01:22:25.937Z,,,,,,30.6,
2017-11-05T01:22:35.936Z,,52,,24.9,,,
2017-11-05T01:22:55.934Z,,52,,24.9,,,
2017-11-05T01:23:15.932Z,,52,,24.9,,,
2017-11-05T01:23:35.938Z,,52,,24.9,,,
2017-11-05T01:23:55.933Z,,52,,24.9,,,
2017-11-05T01:24:15.935Z,,52,,24.9,,,
2017-11-05T01:24:35.935Z,,52,,24.9,,,
2017-11-05T01:24:55.939Z,,52,,24.9,,,
2017-11-05T01:25:15.936Z,,52,,24.9,,,
2017-11-05T01:25:35.989Z,,52,,24.9,,,
2017-11-05T01:25:45.938Z,,52,,24.9,,,
2017-11-05T01:25:55.968Z,,52,,24.9,,,
2017-11-05T01:26:15.949Z,,52,,24.9,,,
2017-11-05T01:26:35.933Z,,52,,24.9,,,
2017-11-05T01:26:45.933Z,,,,,,30.5,
2017-11-05T01:26:55.933Z,,52,,24.8,,,
2017-11-05T01:27:15.938Z,,52,,24.8,,,
2017-11-05T01:27:35.933Z,,52,,24.8,,,
2017-11-05T01:27:55.942Z,,52,,24.8,,,
2017-11-05T01:28:15.933Z,,52,,24.8,,,
2017-11-05T01:28:35.933Z,,52,,24.8,,,
2017-11-05T01:28:55.933Z,,52,,24.8,,,
2017-11-05T01:29:15.932Z,,52,,24.8,,,
2017-11-05T01:29:35.933Z,,52,,24.8,,,
2017-11-05T01:29:45.933Z,,52,,24.8,,,
2017-11-05T01:29:55.933Z,,52,,24.8,,,
2017-11-05T01:30:15.933Z,,52,,24.8,,,
2017-11-05T01:30:35.934Z,,52,,24.8,,,
2017-11-05T01:30:45.936Z,,,,,,30.5,
2017-11-05T01:30:55.933Z,,52,,24.8,,,
2017-11-05T01:31:05.932Z,,,,,,30.4,
2017-11-05T01:31:15.932Z,,52,,24.8,,,
2017-11-05T01:31:35.933Z,,52,,24.7,,,
2017-11-05T01:31:55.933Z,,52,,24.7,,,
2017-11-05T01:32:15.933Z,,52,,24.7,,,
2017-11-05T01:32:35.933Z,,52,,24.7,,,
2017-11-05T01:32:55.932Z,,52,,24.7,,,
2017-11-05T01:33:15.933Z,,52,,24.7,,,
2017-11-05T01:33:35.932Z,,52,,24.7,,,
2017-11-05T01:33:45.938Z,,52,,24.7,,,
2017-11-05T01:33:55.932Z,,52,,24.7,,,
2017-11-05T01:34:15.932Z,,52,,24.7,,,
2017-11-05T01:34:35.934Z,,52,,24.7,,,
2017-11-05T01:34:55.932Z,,52,,24.7,,,
2017-11-05T01:35:15.932Z,,52,,24.7,,,
2017-11-05T01:35:25.933Z,,,,,,30.3,
2017-11-05T01:35:35.938Z,,52,,24.7,,,
2017-11-05T01:35:45.932Z,,52,,24.7,,,
2017-11-05T01:35:55.932Z,,52,,24.7,,,
2017-11-05T01:36:15.932Z,,52,,24.5,,,
2017-11-05T01:36:35.933Z,,52,,24.5,,,
2017-11-05T01:36:55.936Z,,52,,24.5,,,
2017-11-05T01:37:15.933Z,,52,,24.5,,,
2017-11-05T01:37:35.933Z,,52,,24.5,,,
2017-11-05T01:37:55.932Z,,52,,24.5,,,
2017-11-05T01:38:15.932Z,,52,,24.5,,,
2017-11-05T01:38:35.934Z,,52,,24.5,,,
2017-11-05T01:38:55.933Z,,52,,24.5,,,
2017-11-05T01:39:15.934Z,,52,,24.5,,,
2017-11-05T01:39:35.936Z,,52,,24.5,,,
2017-11-05T01:39:45.936Z,,52,,24.5,,30.2,
2017-11-05T01:39:55.932Z,,52,,24.5,,,
2017-11-05T01:40:05.932Z,,,,,,30.3,
2017-11-05T01:40:15.936Z,,52,,24.5,,,
2017-11-05T01:40:25.937Z,,,,,,30.2,
2017-11-05T01:40:35.932Z,,52,,24.5,,,
2017-11-05T01:40:55.933Z,,52,,24.5,,,
2017-11-05T01:41:15.936Z,,52,,24.5,,,
2017-11-05T01:41:35.933Z,,52,,24.4,,,
2017-11-05T01:41:55.932Z,,52,,24.4,,,
2017-11-05T01:42:15.932Z,,52,,24.4,,,
2017-11-05T01:42:35.932Z,,52,,24.4,,,
2017-11-05T01:42:45.932Z,,52,,24.4,,,
2017-11-05T01:42:55.936Z,,52,,24.4,,,
2017-11-05T01:43:15.933Z,,52,,24.4,,,
2017-11-05T01:43:35.936Z,,52,,24.4,,,
2017-11-05T01:43:45.937Z,,52,,24.4,,,
2017-11-05T01:43:55.932Z,,52,,24.4,,,
2017-11-05T01:44:15.939Z,,52,,24.4,,,
2017-11-05T01:44:35.934Z,,52,,24.4,,30.1,
2017-11-05T01:44:45.935Z,,52,,24.4,,,
2017-11-05T01:44:55.933Z,,52,,24.4,,,
2017-11-05T01:45:15.932Z,,52,,24.4,,,
2017-11-05T01:45:35.933Z,,52,,24.4,,,
2017-11-05T01:45:55.932Z,,52,,24.4,,,
2017-11-05T01:46:15.938Z,,52,,24.4,,,
2017-11-05T01:46:35.932Z,,52,,24.4,,,
2017-11-05T01:46:45.932Z,,52,,24.4,,,
2017-11-05T01:46:55.933Z,,52,,24.4,,,
2017-11-05T01:47:15.932Z,,52,,24.3,,,
2017-11-05T01:47:35.933Z,,52,,24.3,,,
2017-11-05T01:47:55.932Z,,52,,24.3,,,
2017-11-05T01:48:15.932Z,,52,,24.3,,,
2017-11-05T01:48:35.932Z,,52,,24.3,,30,
2017-11-05T01:48:45.932Z,,52,,24.3,,,
2017-11-05T01:48:55.932Z,,52,,24.3,,,
2017-11-05T01:49:15.937Z,,52,,24.3,,,
2017-11-05T01:49:35.934Z,,52,,24.3,,,
2017-11-05T01:49:55.933Z,,52,,24.3,,,
2017-11-05T01:50:15.933Z,,52,,24.3,,,
2017-11-05T01:50:35.932Z,,52,,24.3,,,
2017-11-05T01:50:45.932Z,,52,,24.3,,,
2017-11-05T01:50:55.937Z,,52,,24.3,,,
2017-11-05T01:51:15.932Z,,52,,24.3,,,
2017-11-05T01:51:35.932Z,,52,,24.3,,,
2017-11-05T01:51:55.937Z,,52,,24.3,,,
2017-11-05T01:52:15.933Z,,52,,24.3,,,
2017-11-05T01:52:25.932Z,,52,,24.3,,30,
2017-11-05T01:52:35.932Z,,52,,24.2,,30,
2017-11-05T01:52:55.932Z,,52,,24.2,,,
2017-11-05T01:53:05.932Z,,,,,,29.9,
2017-11-05T01:53:15.932Z,,52,,24.2,,,
2017-11-05T01:53:35.933Z,,52,,24.2,,,
2017-11-05T01:53:45.932Z,,52,,24.2,,,
2017-11-05T01:53:55.937Z,,52,,24.2,,,
2017-11-05T01:54:15.932Z,,52,,24.2,,,
2017-11-05T01:54:35.932Z,,52,,24.2,,,
2017-11-05T01:54:45.932Z,,52,,24.2,,,
2017-11-05T01:54:55.932Z,,52,,24.2,,,
2017-11-05T01:55:15.934Z,,52,,24.2,,,
2017-11-05T01:55:35.933Z,,52,,24.2,,,
2017-11-05T01:55:45.936Z,,52,,24.2,,,
2017-11-05T01:55:55.935Z,,52,,24.2,,,
2017-11-05T01:56:15.932Z,,52,,24.2,,,
2017-11-05T01:56:35.932Z,,52,,24.2,,,
2017-11-05T01:56:55.932Z,,52,,24.2,,,
2017-11-05T01:57:15.931Z,,52,,24.2,,,
2017-11-05T01:57:35.937Z,,52,,24.2,,29.8,
2017-11-05T01:57:45.932Z,,52,,24.2,,,
2017-11-05T01:57:55.935Z,,52,,24.2,,,
2017-11-05T01:58:15.932Z,,52,,24.2,,,
2017-11-05T01:58:35.936Z,,52,,24.2,,,
2017-11-05T01:58:45.937Z,,52,,24.2,,,
2017-11-05T01:58:55.932Z,,52,,24,,,
2017-11-05T01:59:15.932Z,,52,,24,,,
2017-11-05T01:59:35.932Z,,52,,24,,,
2017-11-05T01:59:55.933Z,,52,,24,,,
2017-11-05T02:00:15.934Z,,52,,24,,,
2017-11-05T02:00:35.932Z,,52,,24,,,
2017-11-05T02:00:45.931Z,,52,,24,,,
2017-11-05T02:00:55.932Z,,52,,24,,,
2017-11-05T02:01:15.932Z,,52,,24,,,
2017-11-05T02:01:35.932Z,,52,,24,,,
2017-11-05T02:01:55.932Z,,52,,24,,,
2017-11-05T02:02:15.936Z,,52,,24,,,
2017-11-05T02:02:25.931Z,,,,,,29.6,
2017-11-05T02:02:35.931Z,,52,,24,,,
2017-11-05T02:02:45.931Z,,52,,24,,,
2017-11-05T02:02:55.934Z,,52,,24,,,
2017-11-05T02:03:15.932Z,,52,,24,,,
2017-11-05T02:03:25.932Z,,52,,24,,,
2017-11-05T02:03:35.967Z,0,52,0,30.1,2,32,30
2017-11-05T02:03:45.932Z,,,0,,0,33.4,29
2017-11-05T02:03:55.932Z,,52,,33.1,,,
2017-11-05T02:04:05.932Z,,,0,,0,33.6,0
2017-11-05T02:04:15.932Z,,52,,33.3,,33.5,
2017-11-05T02:04:25.932Z,,52,,33.2,,33.4,
2017-11-05T02:04:35.936Z,,52,,33.1,,33.3,
2017-11-05T02:04:45.932Z,,52,,32.9,,,
2017-11-05T02:04:55.932Z,,52,,32.9,,,
2017-11-05T02:05:05.931Z,5,,,,,,
2017-11-05T02:05:15.931Z,,52,,32.8,,,
2017-11-05T02:05:35.932Z,,52,,32.6,,,
2017-11-05T02:05:45.932Z,,,,,,33.2,
2017-11-05T02:05:55.931Z,,52,,32.4,,,
2017-11-05T02:06:15.932Z,,52,,32.4,,,
2017-11-05T02:06:35.934Z,,52,,32.2,,,
2017-11-05T02:06:55.931Z,,52,,32,,,
2017-11-05T02:07:15.932Z,,52,,31.9,,,
2017-11-05T02:07:25.931Z,,,,,,33.1,
2017-11-05T02:07:35.933Z,0,52,0,31.6,2,,
2017-11-05T02:07:45.932Z,,,0,,2,33.1,
2017-11-05T02:07:55.933Z,,52,,33.1,,34,37
2017-11-05T02:08:05.932Z,,52,,34.6,,37.9,43
2017-11-05T02:08:15.932Z,,52,,37.1,,41.1,58
2017-11-05T02:08:25.932Z,,52,,40.2,,43.1,51
2017-11-05T02:08:35.932Z,,52,,43.4,,46.5,40
2017-11-05T02:08:45.932Z,,52,,45.9,,48.1,34
2017-11-05T02:08:55.932Z,,52,,47.6,,49.1,58
2017-11-05T02:09:05.931Z,,52,,48.2,,49.8,
2017-11-05T02:09:15.932Z,,,0,,0,48.7,0
2017-11-05T02:09:25.933Z,,52,,47.6,,48.2,
2017-11-05T02:09:35.933Z,,,0,,2,47.1,36
2017-11-05T02:09:45.933Z,,52,0,47.4,0,46.9,0
2017-11-05T02:09:55.931Z,,,,,,46.8,
2017-11-05T02:10:05.932Z,,52,,47,,46.7,
2017-11-05T02:10:15.932Z,,52,,46.7,,46.5,
2017-11-05T02:10:25.934Z,0,52,0,46.6,0,46.4,0
2017-11-05T02:10:35.932Z,,52,,46.3,,46.3,
