Time,ChActive,HwTSet,PrimT,HwActive,ActPow,HwTOutlet,PrimTSet
2017-12-20T00:00:00.133Z,,50,35.8,,,29.5,
2017-12-20T00:00:10.150Z,,50,,,,29.5,
2017-12-20T00:00:20.134Z,,50,,,,29.5,
2017-12-20T00:00:30.134Z,,50,,,,29.5,
2017-12-20T00:00:40.133Z,,50,,,,29.5,
2017-12-20T00:00:50.133Z,,50,,,,29.5,
2017-12-20T00:01:00.133Z,,50,,,,29.5,
2017-12-20T00:01:10.133Z,,50,,,,29.5,
2017-12-20T00:01:20.133Z,,50,,,,29.5,
2017-12-20T00:01:30.133Z,,50,,,,29.5,
2017-12-20T00:01:40.133Z,,50,,,,29.5,
2017-12-20T00:01:50.133Z,,50,35.7,,,29.5,
2017-12-20T00:02:00.134Z,,50,,,,29.5,
2017-12-20T00:02:10.133Z,,50,,,,29.5,
2017-12-20T00:02:20.134Z,,50,,,,29.5,
2017-12-20T00:02:30.133Z,,50,,,,29.3,
2017-12-20T00:02:40.133Z,,50,,,,29.3,
2017-12-20T00:02:50.133Z,,50,,,,29.3,
2017-12-20T00:03:00.134Z,,50,,,,29.3,
2017-12-20T00:03:10.133Z,,50,35.6,,,29.3,
2017-12-20T00:03:20.133Z,,50,,,,29.3,
2017-12-20T00:03:30.134Z,,50,,,,29.3,
2017-12-20T00:03:40.133Z,,50,,,,29.3,
2017-12-20T00:03:50.133Z,,50,,,,29.3,
2017-12-20T00:04:00.134Z,1,50,,0,,29.3,
2017-12-20T00:04:10.144Z,,50,41.3,,35,29.3,
2017-12-20T00:04:20.134Z,,50,41.9,,30,29.3,
2017-12-20T00:04:30.134Z,,50,39.9,,30,29.3,
2017-12-20T00:04:40.134Z,,50,36.8,,29,29.3,
2017-12-20T00:04:50.134Z,,50,36.6,,,29.3,
2017-12-20T00:05:00.133Z,,50,36,,,29.3,
2017-12-20T00:05:10.133Z,,50,,,30,29.3,
2017-12-20T00:05:20.136Z,,50,36.5,,29,29.3,
2017-12-20T00:05:30.134Z,,50,37.1,,,29.3,
2017-12-20T00:05:40.133Z,,50,37.3,,,29.3,
2017-12-20T00:05:50.133Z,,50,37.6,,30,29.3,
2017-12-20T00:06:00.134Z,,50,37.7,,29,29.3,
2017-12-20T00:06:10.133Z,,50,38,,30,29.3,
2017-12-20T00:06:20.134Z,,50,38.1,,29,29.3,
2017-12-20T00:06:30.133Z,,50,38.3,,,29.3,
2017-12-20T00:06:40.133Z,,50,38.5,,,29.3,
2017-12-20T00:06:50.133Z,,50,38.7,,30,29.3,
2017-12-20T00:07:00.134Z,,50,39.1,,30,29.3,
2017-12-20T00:07:10.134Z,1,50,38.7,0,0,29.3,
2017-12-20T00:07:20.133Z,,50,35.9,,,29.3,
2017-12-20T00:07:30.133Z,,50,34.9,,,29.3,
2017-12-20T00:07:40.133Z,,50,34.3,,,29.3,
2017-12-20T00:07:50.133Z,,50,34.1,,,29.5,
2017-12-20T00:08:00.134Z,,50,34,,,29.5,
2017-12-20T00:08:10.135Z,,50,,,,29.3,
2017-12-20T00:08:20.133Z,,50,,,,29.5,
2017-12-20T00:08:30.134Z,,50,,,,29.5,
2017-12-20T00:08:40.133Z,1,50,33.9,0,0,29.5,59
2017-12-20T00:08:50.133Z,,50,33.8,,,29.5,
2017-12-20T00:09:00.133Z,,50,33.7,,,29.5,
2017-12-20T00:09:10.133Z,,50,,,,29.5,
2017-12-20T00:09:20.133Z,,50,,,,29.5,
2017-12-20T00:09:30.133Z,,50,,,,29.5,
2017-12-20T00:09:40.133Z,,50,,,,29.5,
2017-12-20T00:09:50.133Z,,50,,,,29.5,
2017-12-20T00:10:00.133Z,,50,33.6,,,29.5,
2017-12-20T00:10:10.133Z,,50,33.5,,,29.5,
2017-12-20T00:10:20.134Z,,50,33.6,,,29.5,
2017-12-20T00:10:30.133Z,,50,33.5,,,29.5,
2017-12-20T00:10:40.133Z,,50,33.6,,,29.5,
2017-12-20T00:10:50.134Z,,50,33.5,,,29.5,
2017-12-20T00:11:00.133Z,,50,,,,29.5,
2017-12-20T00:11:10.133Z,,50,,,,29.5,
2017-12-20T00:11:20.134Z,,50,,,,29.5,
2017-12-20T00:11:30.133Z,,50,,,,29.5,
2017-12-20T00:11:40.133Z,,50,,,,29.5,
2017-12-20T00:11:50.134Z,,50,,,,29.5,
2017-12-20T00:12:00.133Z,,50,,,,29.5,
2017-12-20T00:12:10.133Z,,50,,,,29.5,
2017-12-20T00:12:20.134Z,,50,,,,29.5,
2017-12-20T00:12:30.133Z,,50,,,,29.5,
2017-12-20T00:12:40.133Z,,50,,,,29.5,
2017-12-20T00:12:50.133Z,,50,,,,29.5,
2017-12-20T00:13:00.133Z,,50,,,,29.5,
2017-12-20T00:13:10.133Z,,50,,,,29.5,
2017-12-20T00:13:20.133Z,,50,33.6,,,29.5,
2017-12-20T00:13:30.134Z,,50,,,,29.5,
2017-12-20T00:13:40.133Z,,50,,,,29.5,
2017-12-20T00:13:50.133Z,,50,,,,29.5,
2017-12-20T00:14:00.132Z,,50,,,,29.5,
2017-12-20T00:14:10.133Z,,50,,,,29.5,
2017-12-20T00:14:20.133Z,,50,33.7,,,29.5,
2017-12-20T00:14:30.133Z,,50,,,,29.5,
2017-12-20T00:14:40.133Z,,50,,,,29.5,
2017-12-20T00:14:50.133Z,,50,,,,29.3,
2017-12-20T00:15:00.133Z,,50,,,,29.5,
2017-12-20T00:15:10.142Z,,50,,,,29.5,
2017-12-20T00:15:20.134Z,,50,33.8,,,29.5,
2017-12-20T00:15:30.133Z,,50,,,,29.3,
2017-12-20T00:15:40.133Z,,50,,,,29.5,
2017-12-20T00:15:50.153Z,,50,,,,29.5,
2017-12-20T00:16:00.142Z,,50,,,,29.3,
2017-12-20T00:16:10.133Z,,50,,,,29.5,
2017-12-20T00:16:20.134Z,,50,,,,29.5,
2017-12-20T00:16:30.133Z,,50,,,,29.5,
2017-12-20T00:16:40.133Z,,50,,,,29.3,
2017-12-20T00:16:50.134Z,1,50,,0,,29.3,
2017-12-20T00:17:00.133Z,,50,39.2,,37,29.3,
2017-12-20T00:17:10.133Z,,50,40.4,,32,29.3,
2017-12-20T00:17:20.134Z,,50,38.9,,30,29.3,
2017-12-20T00:17:30.133Z,,50,37.8,,30,29.3,
2017-12-20T00:17:40.133Z,,50,37.3,,29,29.3,
2017-12-20T00:17:50.134Z,,50,36.9,,,29.3,
2017-12-20T00:18:00.133Z,,50,37.1,,30,29.3,
2017-12-20T00:18:10.133Z,,50,37.2,,29,29.3,
2017-12-20T00:18:20.134Z,,50,37.7,,,29.3,
2017-12-20T00:18:30.133Z,,50,38,,,29.3,
2017-12-20T00:18:40.133Z,,50,38.1,,30,29.3,
2017-12-20T00:18:50.134Z,,50,38.3,,,29.3,
2017-12-20T00:19:00.133Z,,50,38.5,,29,29.3,
2017-12-20T00:19:10.134Z,,50,38.6,,30,29.3,
2017-12-20T00:19:20.133Z,,50,38.8,,29,29.3,
2017-12-20T00:19:30.133Z,,50,39.1,,,29.3,
2017-12-20T00:19:40.133Z,,50,39.2,,,29.3,
2017-12-20T00:19:50.133Z,,50,39.4,,,29.3,
2017-12-20T00:20:00.133Z,,50,39.5,,30,29.3,
2017-12-20T00:20:10.133Z,,50,39.6,,,29.3,
2017-12-20T00:20:20.133Z,,50,39.8,,29,29.3,
2017-12-20T00:20:30.133Z,,50,40,,,29.3,
2017-12-20T00:20:40.133Z,,50,,,,29.5,
2017-12-20T00:20:50.133Z,,50,40.2,,,29.5,
2017-12-20T00:21:00.133Z,,50,40.3,,,29.5,
2017-12-20T00:21:10.133Z,,50,40.5,,30,29.5,
2017-12-20T00:21:20.132Z,,50,40.7,,29,29.5,
2017-12-20T00:21:30.133Z,,50,40.8,,,29.5,
2017-12-20T00:21:40.133Z,,50,41,,29,29.5,
2017-12-20T00:21:50.133Z,,50,41.1,,,29.5,
2017-12-20T00:22:00.133Z,,50,41.3,,,29.5,
2017-12-20T00:22:10.133Z,,50,41.5,,,29.5,
2017-12-20T00:22:20.133Z,,50,41.6,,,29.5,
2017-12-20T00:22:30.133Z,,50,41.8,,,29.5,
2017-12-20T00:22:40.133Z,,50,42,,,29.5,
2017-12-20T00:22:50.133Z,,50,42.1,,,29.6,
2017-12-20T00:23:00.133Z,,50,42.2,,30,29.6,
2017-12-20T00:23:10.133Z,,50,42.4,,29,29.5,
2017-12-20T00:23:20.133Z,1,50,42.8,0,0,29.6,
2017-12-20T00:23:30.133Z,,50,40.8,,,29.6,
2017-12-20T00:23:40.133Z,,50,38.8,,,29.6,
2017-12-20T00:23:50.133Z,,50,37.9,,,29.6,
2017-12-20T00:24:00.133Z,,50,37.8,,,29.6,
2017-12-20T00:24:10.133Z,,50,37.6,,,29.6,
2017-12-20T00:24:20.133Z,,50,,,,29.6,
2017-12-20T00:24:30.132Z,,50,,,,29.6,
2017-12-20T00:24:40.134Z,,50,37.7,,,29.7,
2017-12-20T00:24:50.133Z,,50,37.6,,,29.7,
2017-12-20T00:25:00.133Z,,50,37.5,,,29.7,
2017-12-20T00:25:10.134Z,,50,37.4,,,29.7,
2017-12-20T00:25:20.133Z,,50,37.3,,,29.7,
2017-12-20T00:25:30.133Z,,50,37.2,,,29.7,
2017-12-20T00:25:40.133Z,,50,,,,29.7,
2017-12-20T00:25:50.133Z,,50,,,,29.7,
2017-12-20T00:26:00.133Z,,50,,,,29.7,
2017-12-20T00:26:10.134Z,,50,,,,29.7,
2017-12-20T00:26:20.133Z,,50,36.9,,,29.7,
2017-12-20T00:26:30.133Z,,50,36.9,,,29.8,
2017-12-20T00:26:40.133Z,,50,,,,29.8,
2017-12-20T00:26:50.136Z,,50,,,,29.8,
2017-12-20T00:27:00.133Z,,50,,,,29.8,
2017-12-20T00:27:10.133Z,,50,,,,29.8,
2017-12-20T00:27:20.133Z,,50,,,,29.8,
2017-12-20T00:27:30.133Z,,50,,,,29.8,
2017-12-20T00:27:40.132Z,,50,,,,29.8,
2017-12-20T00:27:50.133Z,,50,36.8,,,29.8,
2017-12-20T00:28:00.134Z,,50,,,,29.8,
2017-12-20T00:28:10.133Z,,50,,,,29.8,
2017-12-20T00:28:20.133Z,,50,,,,29.8,
2017-12-20T00:28:30.133Z,,50,,,,29.8,
2017-12-20T00:28:40.132Z,,50,,,,29.8,
2017-12-20T00:28:50.133Z,,50,,,,29.8,
2017-12-20T00:29:00.133Z,,50,36.9,,,30,
2017-12-20T00:29:10.133Z,,50,,,,29.8,
2017-12-20T00:29:20.136Z,,50,,,,30,
2017-12-20T00:29:30.133Z,,50,,,,30,
2017-12-20T00:29:40.133Z,,50,,,,30,
2017-12-20T00:29:50.133Z,,50,37.1,,,30,
2017-12-20T00:30:00.133Z,,50,,,,30,
2017-12-20T00:30:10.132Z,,50,,,,30,
2017-12-20T00:30:20.133Z,,50,,,,30,
2017-12-20T00:30:30.133Z,,50,37.2,,,30,
2017-12-20T00:30:40.133Z,,50,,,,30,
2017-12-20T00:30:50.138Z,,50,,,,30,
2017-12-20T00:31:00.133Z,,50,,,,30,
2017-12-20T00:31:10.132Z,,50,,,,30,
2017-12-20T00:31:20.137Z,,50,37.3,,,30,
2017-12-20T00:31:30.133Z,,50,,,,30,
2017-12-20T00:31:40.132Z,,50,,,,30,
2017-12-20T00:31:50.132Z,,50,,,,30,
2017-12-20T00:32:00.133Z,,50,,,,30,
2017-12-20T00:32:10.133Z,,50,,,,30,
2017-12-20T00:32:20.133Z,,50,,,,30,
2017-12-20T00:32:30.133Z,,50,,,,30,
2017-12-20T00:32:40.132Z,,50,,,,30,
2017-12-20T00:32:50.133Z,,50,,,,30,
2017-12-20T00:33:00.166Z,,50,,,,30,
2017-12-20T00:33:10.133Z,,50,,,,30,
2017-12-20T00:33:20.133Z,,50,,,,30,
2017-12-20T00:33:30.132Z,,50,,,,30,
2017-12-20T00:33:40.132Z,,50,,,,30,
2017-12-20T00:33:50.133Z,,50,,,,30,
2017-12-20T00:34:00.134Z,,50,,,,30,
2017-12-20T00:34:10.132Z,,50,,,,30,
2017-12-20T00:34:20.133Z,,50,,,,30,
2017-12-20T00:34:30.133Z,,50,,,,30,
2017-12-20T00:34:40.132Z,,50,,,,30,
2017-12-20T00:34:50.132Z,,50,,,,30,
2017-12-20T00:35:00.133Z,,50,37.2,,,30,
2017-12-20T00:35:10.133Z,,50,,,,30,
2017-12-20T00:35:20.134Z,,50,,,,30,
2017-12-20T00:35:30.133Z,,50,,,,30,
2017-12-20T00:35:40.133Z,,50,,,,30,
2017-12-20T00:35:50.132Z,,50,,,,30,
2017-12-20T00:36:00.133Z,,50,,,,30,
2017-12-20T00:36:10.133Z,,50,,,,30,
2017-12-20T00:36:20.133Z,,50,,,,30,
2017-12-20T00:36:30.133Z,,50,,,,30,
2017-12-20T00:36:40.132Z,,50,37.1,,,30,
2017-12-20T00:36:50.132Z,,50,,,,30,
2017-12-20T00:37:00.133Z,,50,,,,30,
2017-12-20T00:37:10.132Z,,50,,,,30,
2017-12-20T00:37:20.133Z,,50,,,,30,
2017-12-20T00:37:30.132Z,,50,,,,30,
2017-12-20T00:37:40.147Z,,50,,,,30,
2017-12-20T00:37:50.133Z,,50,36.9,,,30,
2017-12-20T00:38:00.133Z,,50,36.9,,,30,
2017-12-20T00:38:10.133Z,,50,,,,30,
2017-12-20T00:38:20.133Z,,50,,,,30,
2017-12-20T00:38:30.133Z,,50,,,,30,
2017-12-20T00:38:40.132Z,,50,,,,30,
2017-12-20T00:38:50.133Z,,50,,,,30,
2017-12-20T00:39:00.132Z,,50,,,,30,
2017-12-20T00:39:10.133Z,,50,36.8,,,30,
2017-12-20T00:39:20.133Z,,50,,,,30,
2017-12-20T00:39:30.132Z,,50,,,,30,
2017-12-20T00:39:40.132Z,,50,,,,30,
2017-12-20T00:39:50.133Z,,50,,,,30,
2017-12-20T00:40:00.133Z,,50,,,,30,
2017-12-20T00:40:10.133Z,,50,,,,30,
2017-12-20T00:40:20.133Z,,50,,,,30,
2017-12-20T00:40:30.133Z,,50,,,,30,
2017-12-20T00:40:40.133Z,,50,,,,30,
2017-12-20T00:40:50.133Z,,50,36.7,,,30,
2017-12-20T00:41:00.133Z,,50,,,,30,
2017-12-20T00:41:10.133Z,,50,,,,29.8,
2017-12-20T00:41:20.133Z,,50,,,,30,
2017-12-20T00:41:30.132Z,,50,,,,29.8,
2017-12-20T00:41:40.133Z,,50,,,,29.8,
2017-12-20T00:41:50.133Z,,50,,,,29.8,
2017-12-20T00:42:00.132Z,,50,,,,29.8,
2017-12-20T00:42:10.132Z,,50,,,,29.8,
2017-12-20T00:42:20.133Z,,50,36.6,,,29.8,
2017-12-20T00:42:30.132Z,,50,,,,29.8,
2017-12-20T00:42:40.132Z,,50,,,,29.8,
2017-12-20T00:42:50.133Z,,50,,,,29.8,
2017-12-20T00:43:00.133Z,,50,,,,29.8,
2017-12-20T00:43:10.132Z,,50,,,,29.8,
2017-12-20T00:43:20.133Z,,50,,,,29.8,
2017-12-20T00:43:30.132Z,,50,,,,29.8,
2017-12-20T00:43:40.133Z,,50,,,,29.8,
2017-12-20T00:43:50.133Z,,50,36.5,,,29.8,
2017-12-20T00:44:00.132Z,,50,,,,29.8,
2017-12-20T00:44:10.133Z,,50,,,,29.8,
2017-12-20T00:44:20.133Z,,50,,,,29.8,
2017-12-20T00:44:30.132Z,,50,,,,29.8,
2017-12-20T00:44:40.133Z,,50,,,,29.8,
2017-12-20T00:44:50.133Z,,50,,,,29.8,
2017-12-20T00:45:00.132Z,,50,,,,29.8,
2017-12-20T00:45:10.132Z,,50,,,,29.8,
2017-12-20T00:45:20.133Z,,50,,,,29.8,
2017-12-20T00:45:30.132Z,,50,,,,29.8,
2017-12-20T00:45:40.132Z,,50,,,,29.8,
2017-12-20T00:45:50.133Z,,50,36.4,,,29.8,
2017-12-20T00:46:00.133Z,,50,,,,29.7,
2017-12-20T00:46:10.133Z,1,50,36.6,0,45,29.8,
2017-12-20T00:46:20.191Z,,50,42.2,,35,29.7,
2017-12-20T00:46:30.133Z,,50,40.7,,30,29.7,
2017-12-20T00:46:40.133Z,,50,38.9,,30,29.7,
2017-12-20T00:46:50.133Z,,50,36.7,,29,29.7,
2017-12-20T00:47:00.132Z,,50,35.7,,,29.7,
2017-12-20T00:47:10.158Z,,50,35.2,,,29.7,
2017-12-20T00:47:20.133Z,,50,35.3,,30,29.7,
2017-12-20T00:47:30.132Z,,50,36,,29,29.7,
2017-12-20T00:47:40.132Z,,50,36.3,,,29.7,
2017-12-20T00:47:50.132Z,,50,36.6,,,29.7,
2017-12-20T00:48:00.132Z,,50,36.8,,,29.7,
2017-12-20T00:48:10.132Z,,50,37.1,,30,29.7,
2017-12-20T00:48:20.133Z,,50,37.2,,29,29.7,
2017-12-20T00:48:30.132Z,,50,37.4,,30,29.7,
2017-12-20T00:48:40.133Z,,50,37.6,,,29.7,
2017-12-20T00:48:50.132Z,,50,38,,29,29.7,
2017-12-20T00:49:00.132Z,,50,38.1,,30,29.7,
2017-12-20T00:49:10.133Z,,50,38.3,,29,29.7,
2017-12-20T00:49:20.135Z,,50,38.5,,30,29.7,
2017-12-20T00:49:30.132Z,,50,38.7,,29,29.7,
2017-12-20T00:49:40.132Z,,50,38.8,,,29.7,
2017-12-20T00:49:50.132Z,,50,39.1,,,29.7,
2017-12-20T00:50:00.132Z,,50,39.3,,30,29.7,
2017-12-20T00:50:10.133Z,,50,39.5,,,29.7,
2017-12-20T00:50:20.132Z,,50,39.6,,29,29.7,
2017-12-20T00:50:30.132Z,,50,39.8,,,29.7,
2017-12-20T00:50:40.133Z,,50,40,,,29.7,
2017-12-20T00:50:50.133Z,,50,40.1,,,29.7,
2017-12-20T00:51:00.132Z,,50,40.2,,30,29.8,
2017-12-20T00:51:10.133Z,,50,40.4,,,29.8,
2017-12-20T00:51:20.132Z,,50,40.5,,29,29.7,
2017-12-20T00:51:30.132Z,,50,40.7,,,29.8,
2017-12-20T00:51:40.133Z,,50,40.8,,,29.8,
2017-12-20T00:51:50.132Z,,50,41,,,29.8,
2017-12-20T00:52:00.132Z,,50,41.1,,,29.8,
2017-12-20T00:52:10.133Z,,50,41.3,,,29.8,
2017-12-20T00:52:20.132Z,,50,41.4,,,29.8,
2017-12-20T00:52:30.132Z,,50,41.6,,30,29.8,
2017-12-20T00:52:40.132Z,,50,41.7,,,29.8,
2017-12-20T00:52:50.132Z,,50,42,,29,29.8,
2017-12-20T00:53:00.132Z,,50,42.1,,,29.8,
2017-12-20T00:53:10.133Z,,50,42.2,,,29.8,
2017-12-20T00:53:20.132Z,,50,42.4,,30,29.8,
2017-12-20T00:53:30.132Z,,50,42.6,,29,29.8,
2017-12-20T00:53:40.132Z,,50,42.9,,,30,
2017-12-20T00:53:50.132Z,1,50,40.8,0,0,30,
2017-12-20T00:54:00.132Z,,50,38.9,,,30,
2017-12-20T00:54:10.133Z,,50,38,,,30,
2017-12-20T00:54:20.132Z,,50,37.9,,,30,
2017-12-20T00:54:30.132Z,,50,37.8,,,30,
2017-12-20T00:54:40.133Z,,50,,,,30,
2017-12-20T00:54:50.132Z,,50,,,,30,
2017-12-20T00:55:00.132Z,,50,,,,30,
2017-12-20T00:55:10.132Z,,50,37.7,,,30,
2017-12-20T00:55:20.132Z,,50,37.5,,,30.1,
2017-12-20T00:55:30.132Z,,50,37.4,,,30.1,
2017-12-20T00:55:40.133Z,,50,,,,30.1,
2017-12-20T00:55:50.132Z,,50,37.3,,,30.1,
2017-12-20T00:56:00.132Z,,50,,,,30.1,
2017-12-20T00:56:10.132Z,,50,,,,30.1,
2017-12-20T00:56:20.133Z,,50,,,,30.1,
2017-12-20T00:56:30.132Z,,50,37.2,,,30.1,
2017-12-20T00:56:40.133Z,,50,37.1,,,30.1,
2017-12-20T00:56:50.132Z,,50,,,,30.1,
2017-12-20T00:57:00.132Z,,50,,,,30.1,
2017-12-20T00:57:10.135Z,,50,,,,30.1,
2017-12-20T00:57:20.132Z,,50,,,,30.2,
2017-12-20T00:57:30.132Z,,50,,,,30.2,
2017-12-20T00:57:40.132Z,,50,,,,30.2,
2017-12-20T00:57:50.132Z,,50,,,,30.2,
2017-12-20T00:58:00.132Z,,50,36.9,,,30.2,
2017-12-20T00:58:10.132Z,,50,36.9,,,30.2,
2017-12-20T00:58:20.132Z,,50,36.9,,,30.2,
2017-12-20T00:58:30.132Z,,50,36.9,,,30.2,
2017-12-20T00:58:40.132Z,,50,36.9,,,30.2,
2017-12-20T00:58:50.133Z,,50,37.1,,,30.2,
2017-12-20T00:59:00.132Z,,50,37.1,,,30.2,
2017-12-20T00:59:10.132Z,,50,36.9,,,30.2,
2017-12-20T00:59:20.132Z,,50,37.1,,,30.2,
2017-12-20T00:59:30.132Z,,50,,,,30.2,
2017-12-20T00:59:40.132Z,,50,,,,30.2,
2017-12-20T00:59:50.132Z,,50,,,,30.2,
2017-12-20T01:00:00.132Z,,50,,,,30.2,
2017-12-20T01:00:10.132Z,,50,37.2,,,30.2,
2017-12-20T01:00:20.132Z,,50,,,,30.2,
2017-12-20T01:00:30.132Z,,50,,,,30.2,
2017-12-20T01:00:40.132Z,,50,37.3,,,30.2,
2017-12-20T01:00:50.141Z,,50,,,,30.2,
2017-12-20T01:01:00.132Z,,50,,,,30.2,
2017-12-20T01:01:10.132Z,,50,,,,30.2,
2017-12-20T01:01:20.132Z,,50,,,,30.2,
2017-12-20T01:01:30.133Z,,50,37.4,,,30.2,
2017-12-20T01:01:40.132Z,,50,,,,30.2,
2017-12-20T01:01:50.132Z,,50,,,,30.2,
2017-12-20T01:02:00.133Z,,50,,,,30.3,
2017-12-20T01:02:10.132Z,,50,,,,30.2,
2017-12-20T01:02:20.177Z,,50,,,,30.2,
2017-12-20T01:02:30.134Z,,50,,,,30.2,
2017-12-20T01:02:40.132Z,,50,,,,30.2,
2017-12-20T01:02:50.155Z,,50,,,,30.3,
2017-12-20T01:03:00.132Z,,50,,,,30.3,
2017-12-20T01:03:10.132Z,,50,,,,30.3,
2017-12-20T01:03:20.132Z,,50,,,,30.3,
2017-12-20T01:03:30.132Z,,50,,,,30.2,
2017-12-20T01:03:40.132Z,,50,,,,30.2,
2017-12-20T01:03:50.132Z,,50,,,,30.2,
2017-12-20T01:04:00.132Z,,50,,,,30.2,
2017-12-20T01:04:10.132Z,,50,,,,30.3,
2017-12-20T01:04:20.132Z,,50,,,,30.3,
2017-12-20T01:04:30.133Z,,50,,,,30.3,
2017-12-20T01:04:40.132Z,,50,,,,30.2,
2017-12-20T01:04:50.132Z,,50,,,,30.2,
2017-12-20T01:05:00.132Z,,50,,,,30.2,
2017-12-20T01:05:10.132Z,,50,,,,30.2,
2017-12-20T01:05:20.132Z,,50,,,,30.2,
2017-12-20T01:05:30.133Z,,50,,,,30.2,
2017-12-20T01:05:40.135Z,,50,37.3,,,30.2,
2017-12-20T01:05:50.132Z,,50,,,,30.2,
2017-12-20T01:06:00.132Z,,50,,,,30.2,
2017-12-20T01:06:10.132Z,,50,,,,30.2,
2017-12-20T01:06:20.132Z,,50,,,,30.2,
2017-12-20T01:06:30.132Z,,50,,,,30.2,
2017-12-20T01:06:40.132Z,,50,,,,30.2,
2017-12-20T01:06:50.132Z,,50,,,,30.2,
2017-12-20T01:07:00.132Z,,50,,,,30.2,
2017-12-20T01:07:10.132Z,,50,,,,30.2,
2017-12-20T01:07:20.132Z,,50,37.2,,,30.2,
2017-12-20T01:07:30.135Z,,50,,,,30.2,
2017-12-20T01:07:40.132Z,,50,,,,30.2,
2017-12-20T01:07:50.133Z,,50,,,,30.2,
2017-12-20T01:08:00.132Z,,50,,,,30.2,
2017-12-20T01:08:10.132Z,,50,,,,30.2,
2017-12-20T01:08:20.132Z,,50,,,,30.2,
2017-12-20T01:08:30.132Z,,50,,,,30.2,
2017-12-20T01:08:40.132Z,,50,,,,30.2,
2017-12-20T01:08:50.132Z,1,50,37.1,0,0,30.2,59
2017-12-20T01:09:00.132Z,,50,,,,30.2,
2017-12-20T01:09:10.132Z,,50,,,,30.2,
2017-12-20T01:09:20.132Z,,50,,,,30.2,
2017-12-20T01:09:30.132Z,,50,,,,30.2,
2017-12-20T01:09:40.132Z,,50,,,,30.2,
2017-12-20T01:09:50.132Z,,50,,,,30.2,
2017-12-20T01:10:00.132Z,,50,36.9,,,30.2,
2017-12-20T01:10:10.134Z,,50,36.9,,,30.2,
2017-12-20T01:10:20.132Z,,50,,,,30.2,
2017-12-20T01:10:30.132Z,,50,,,,30.2,
2017-12-20T01:10:40.132Z,,50,,,,30.2,
2017-12-20T01:10:50.131Z,,50,,,,30.2,
2017-12-20T01:11:00.132Z,,50,,,,30.2,
2017-12-20T01:11:10.131Z,,50,,,,30.1,
2017-12-20T01:11:20.132Z,,50,,,,30.1,
2017-12-20T01:11:30.132Z,,50,36.8,,,30.1,
2017-12-20T01:11:40.131Z,,50,,,,30.1,
2017-12-20T01:11:50.132Z,,50,,,,30.1,
2017-12-20T01:12:00.132Z,,50,,,,30.1,
2017-12-20T01:12:10.132Z,,50,,,,30.1,
2017-12-20T01:12:20.132Z,,50,,,,30.1,
2017-12-20T01:12:30.132Z,,50,,,,30.1,
2017-12-20T01:12:40.132Z,,50,,,,30.1,
2017-12-20T01:12:50.132Z,,50,,,,30.1,
2017-12-20T01:13:00.132Z,,50,36.7,,,30.1,
2017-12-20T01:13:10.131Z,,50,,,,30.1,
2017-12-20T01:13:20.132Z,,50,,,,30.1,
2017-12-20T01:13:30.132Z,,50,,,,30.1,
2017-12-20T01:13:40.132Z,,50,,,,30.1,
2017-12-20T01:13:50.132Z,,50,,,,30.1,
2017-12-20T01:14:00.131Z,1,50,36.8,0,45,30.1,
2017-12-20T01:14:10.132Z,,50,42.4,,35,30.1,
2017-12-20T01:14:20.133Z,,50,41.7,,30,30.1,
2017-12-20T01:14:30.132Z,,50,39.9,,29,30.1,
2017-12-20T01:14:40.132Z,,50,36.9,,30,30.1,
2017-12-20T01:14:50.132Z,,50,36.5,,29,30.1,
2017-12-20T01:15:00.132Z,,50,36,,29,30.1,
2017-12-20T01:15:10.132Z,,50,36.1,,,30.1,
2017-12-20T01:15:20.132Z,,50,36.6,,30,30,
2017-12-20T01:15:30.132Z,,50,37.1,,30,30.1,
2017-12-20T01:15:40.131Z,,50,37.4,,,30.1,
2017-12-20T01:15:50.132Z,,50,37.6,,,30,
2017-12-20T01:16:00.131Z,,50,37.8,,29,30,
2017-12-20T01:16:10.132Z,,50,38,,,30,
2017-12-20T01:16:20.132Z,,50,38.1,,,30,
2017-12-20T01:16:30.131Z,,50,38.3,,30,30.1,
2017-12-20T01:16:40.131Z,,50,38.5,,29,30,
2017-12-20T01:16:50.132Z,,50,38.8,,,30,
2017-12-20T01:17:00.132Z,,50,39.1,,30,30.1,
2017-12-20T01:17:10.132Z,,50,39.2,,29,30,
2017-12-20T01:17:20.140Z,,50,39.4,,30,30.1,
2017-12-20T01:17:30.132Z,,50,39.6,,29,30.1,
2017-12-20T01:17:40.132Z,,50,39.7,,,30.1,
2017-12-20T01:17:50.132Z,,50,40,,,30.1,
2017-12-20T01:18:00.132Z,,50,,,,30.1,
2017-12-20T01:18:10.132Z,,50,40.2,,30,30.1,
2017-12-20T01:18:20.132Z,,50,40.4,,29,30.1,
2017-12-20T01:18:30.131Z,,50,40.5,,,30.1,
2017-12-20T01:18:40.132Z,,50,40.7,,,30.1,
2017-12-20T01:18:50.133Z,,50,40.8,,,30.1,
2017-12-20T01:19:00.131Z,,50,41,,29,30.1,
2017-12-20T01:19:10.132Z,,50,41.1,,,30.1,
2017-12-20T01:19:20.132Z,,50,41.3,,,30.1,
2017-12-20T01:19:30.132Z,,50,41.4,,,30.1,
2017-12-20T01:19:40.131Z,,50,41.6,,,30.1,
